title,buyer_name,publication_date,publication_number,country,category,priority_bucket,cpv_code,url,source,raw_text
ASSISTANCE À MAÎTRISE D'OUVRAGE POUR L'AMÉNAGEMENT INTÉRIEUR ET LA SIGNALÉTIQUE DE LA MAIRIE-MÉDIATHÈQUE DE MAROMME - ARCHITECTE D'INTERIEUR,Ville de Maromme,2026-03-10,26-24802,France,ARCHITECTURE_BUILDING,CORE,71241000,https://www.boamp.fr/pages/avis/?q=idweb:26-24802,BOAMP,ASSISTANCE À MAÎTRISE D'OUVRAGE POUR L'AMÉNAGEMENT INTÉRIEUR ET LA SIGNALÉTIQUE DE LA MAIRIE-MÉDIATHÈQUE DE MAROMME - ARCHITECTE D'INTERIEUR | Assistance technique | Assistance à maîtrise d'ouvrage | APPEL_OFFRE | SERVICES | 71241000 | nature APPEL_OFFRE | type SERVICES | CPV archi 71241000 | + fort: architecte | + fort: architecte d interieur | + fort: assistance a maitrise d ouvrage | + moyen: amenagement | + moyen: signaletique | + moyen: interieur | 14 | 27 | 50 | 60 | 61 | 76 | 78 | 80 | 95 | https://www.boamp.fr/pages/avis/?q=idweb:26-24802
La consultation concerne l'organisation d'un concours de maîtrise d'oeuvre portant sur la rénovation (dont rénov énergétique) et l'extension du siège social de la Communauté de communes de Marana Golo,Communauté de Communes Marana Golo,2026-03-10,26-23977,France,COMPETITIONS,CORE,71200000 | 71223000 | 71240000,https://www.boamp.fr/pages/avis/?q=idweb:26-23977,BOAMP,La consultation concerne l'organisation d'un concours de maîtrise d'oeuvre portant sur la rénovation (dont rénov énergétique) et l'extension du siège social de la Communauté de communes de Marana Golo | Maîtrise d'oeuvre | APPEL_OFFRE | SERVICES | 71200000 | 71223000 | 71240000 | nature APPEL_OFFRE | type SERVICES | CPV archi 71200000 | CPV archi 71223000 | CPV archi 71240000 | + fort: maitrise d oeuvre | + fort: concours de maitrise d oeuvre | + moyen: amenagement | - fort: photovoltaique | 20B | https://www.boamp.fr/pages/avis/?q=idweb:26-23977
Mission d'Assistance à Maîtrise d'Ouvrage en vue de la construction en conception-réalisation de la Résidence universitaire Les Jardins de Fleming à Orsay pour le compte du Crous de Versailles,Crous de Versailles,2026-03-13,26-25750,France,AMO_PROGRAMMING,CORE,71000000 | 71300000 | 71500000,https://www.boamp.fr/pages/avis/?q=idweb:26-25750,BOAMP,Mission d'Assistance à Maîtrise d'Ouvrage en vue de la construction en conception-réalisation de la Résidence universitaire Les Jardins de Fleming à Orsay pour le compte du Crous de Versailles | Assistance à maîtrise d'ouvrage | APPEL_OFFRE | SERVICES | 71000000 | 71300000 | 71500000 | nature APPEL_OFFRE | type SERVICES | CPV fort 71000000 | CPV secondaire 71300000 | CPV secondaire 71500000 | + fort: assistance a maitrise d ouvrage | + fort:  amo  | + moyen: etude | 78 | 91 | 92 | 95 | https://www.boamp.fr/pages/avis/?q=idweb:26-25750
"Marché de maîtrise d'oeuvre architecturale, paysagère et technique - Aménagements de surface de la rue Bruneseau et inversion du schéma de circulation du secteur Bruneseau Nord - ZAC Paris Rive Gauche",SEMAPA,2026-03-08,26-23266,France,URBANISM_LANDSCAPE,CORE,71400000,https://www.boamp.fr/pages/avis/?q=idweb:26-23266,BOAMP,"Marché de maîtrise d'oeuvre architecturale, paysagère et technique - Aménagements de surface de la rue Bruneseau et inversion du schéma de circulation du secteur Bruneseau Nord - ZAC Paris Rive Gauche | Prestations de services | Maîtrise d'oeuvre | APPEL_OFFRE | SERVICES | 71400000 | nature APPEL_OFFRE | type SERVICES | CPV archi 71400000 | + fort: maitrise d oeuvre | + fort: mission de maitrise d oeuvre | + fort: architecte | + moyen: amenagement | + moyen: etude | + moyen: ingenierie | + moyen: paysage | 75 | https://www.boamp.fr/pages/avis/?q=idweb:26-23266"
"Mission de maîtrise d’oeuvre pour la création d’un garage, d’un vestiaire féminin, d’un abri à set et réhabilitation de l’assainissement au Service Technique Côte d’Or à Lusigny-sur-Ouche",Conseil Départemental de Côte d'Or (21),2026-03-16,26-27127,France,URBANISM_LANDSCAPE,CORE,71300000,https://www.boamp.fr/pages/avis/?q=idweb:26-27127,BOAMP,"Mission de maîtrise d’oeuvre pour la création d’un garage, d’un vestiaire féminin, d’un abri à set et réhabilitation de l’assainissement au Service Technique Côte d’Or à Lusigny-sur-Ouche | Maîtrise d'oeuvre | APPEL_OFFRE | SERVICES | 71300000 | nature APPEL_OFFRE | type SERVICES | CPV secondaire 71300000 | + fort: maitrise d oeuvre | + fort: maitre d oeuvre | + fort: mission de maitrise d oeuvre | + fort: urbanisme | + moyen: rehabilitation | + moyen: etude | 21 | https://www.boamp.fr/pages/avis/?q=idweb:26-27127"
Mission de maîtrise d’œuvre pour la conception et la construction d’une nouvelle station d’épuration (Step) à Landaul et démolition des ouvrages existants.,Auray Quiberon Terre Atlantique,2026-03-13,26-26383,France,ARCHITECTURE_BUILDING,CORE,71000000,https://www.boamp.fr/pages/avis/?q=idweb:26-26383,BOAMP,Mission de maîtrise d’œuvre pour la conception et la construction d’une nouvelle station d’épuration (Step) à Landaul et démolition des ouvrages existants. | Maîtrise d'oeuvre | Station d'épuration (travaux) | APPEL_OFFRE | SERVICES | 71000000 | nature APPEL_OFFRE | type SERVICES | CPV fort 71000000 | + fort: maitrise d oeuvre | + fort: architecte | + fort: architecture | + moyen: etude | 56 | https://www.boamp.fr/pages/avis/?q=idweb:26-26383
Mission De Maitrise D'Oeuvre Pour La Renovation Energetique De La Cite Scolaire La Serre De Sarsan A Lourdes,Département des Hautes Pyrénées,2026-03-12,26-25934,France,ARCHITECTURE_BUILDING,CORE,71200000,https://www.boamp.fr/pages/avis/?q=idweb:26-25934,BOAMP,Mission De Maitrise D'Oeuvre Pour La Renovation Energetique De La Cite Scolaire La Serre De Sarsan A Lourdes | Maîtrise d'oeuvre | Ingénierie | APPEL_OFFRE | SERVICES | 71200000 | nature APPEL_OFFRE | type SERVICES | CPV archi 71200000 | + fort: maitrise d oeuvre | + fort: mission de maitrise d oeuvre | + fort: architecte | + moyen: etude | + moyen: ingenierie | 65 | https://www.boamp.fr/pages/avis/?q=idweb:26-25934
Mission de maîtrise d'oeuvre pour les travaux de modernisation et de réhabilitation de la station de traitement des eaux usées de Bois de Nèfles - Commune de Saint-Leu,Communauté d'Agglomération Territoire de la Côte Ouest (974),2026-03-08,26-23450,France,ARCHITECTURE_BUILDING,CORE,71000000,https://www.boamp.fr/pages/avis/?q=idweb:26-23450,BOAMP,Mission de maîtrise d'oeuvre pour les travaux de modernisation et de réhabilitation de la station de traitement des eaux usées de Bois de Nèfles - Commune de Saint-Leu | Station d'épuration (travaux) | Assainissement | APPEL_OFFRE | SERVICES | 71000000 | nature APPEL_OFFRE | type SERVICES | CPV fort 71000000 | + fort: maitrise d oeuvre | + fort: mission de maitrise d oeuvre | + fort: architecte | + moyen: rehabilitation | 974 | https://www.boamp.fr/pages/avis/?q=idweb:26-23450
"Accord-cadre de maîtrise d'oeuvre d'espaces publics, sur le périmètre de la concession Euralille à la Deûle suivant le plan guide de l'urbaniste en chef",Spl euralille,2026-03-05,26-22133,France,URBANISM_LANDSCAPE,CORE,71300000 | 71311300 | 71400000,https://www.boamp.fr/pages/avis/?q=idweb:26-22133,BOAMP,"Accord-cadre de maîtrise d'oeuvre d'espaces publics, sur le périmètre de la concession Euralille à la Deûle suivant le plan guide de l'urbaniste en chef | Maîtrise d'oeuvre | APPEL_OFFRE | SERVICES | 71300000 | 71311300 | 71400000 | nature APPEL_OFFRE | type SERVICES | CPV secondaire 71300000 | CPV secondaire 71311300 | CPV archi 71400000 | + fort: maitrise d oeuvre | + fort: architecte | + moyen: espace public | + moyen: etude | + moyen: paysage | 59 | 62 | 75 | https://www.boamp.fr/pages/avis/?q=idweb:26-22133"
PROJET DE RÉHABILITATION DE L’ESPACE URBAIN AUTOUR DE LA PLACE DU DOCTEUR ROUX  -  MISSION DE PROGRAMMATION ET DE CONCERTATION,Mairie de Chatou,2026-03-10,26-24542,France,URBANISM_LANDSCAPE,CORE,71300000,https://www.boamp.fr/pages/avis/?q=idweb:26-24542,BOAMP,PROJET DE RÉHABILITATION DE L’ESPACE URBAIN AUTOUR DE LA PLACE DU DOCTEUR ROUX  -  MISSION DE PROGRAMMATION ET DE CONCERTATION | Assistance à maîtrise d'ouvrage | APPEL_OFFRE | SERVICES | 71300000 | nature APPEL_OFFRE | type SERVICES | CPV secondaire 71300000 | + fort: architecte | + fort: assistance a maitrise d ouvrage | + fort: urbanisme | + moyen: rehabilitation | + moyen: etude | + moyen: paysage | + moyen: paysagiste | 78 | https://www.boamp.fr/pages/avis/?q=idweb:26-24542
